SampleID,Factor,Condition,Replicate,bamReads,ControlID,bamControl,Peaks,H3K27acPeaks,PeakCaller
WY01_HAP1_ChIP-seq_dBET6_BRD4_first-ab_1,BRD4,dBET,1,/scratch/lab_bock/shared/projects/mthfd1/data/WY01_HAP1_ChIP-seq_dBET6_BRD4_first-ab_1/mapped/WY01_HAP1_ChIP-seq_dBET6_BRD4_first-ab_1.trimmed.bowtie2.filtered.bam,WY01_HAP1_ChIP-seq_dBET6_IgG_1,/scratch/lab_bock/shared/projects/mthfd1/data/WY01_HAP1_ChIP-seq_dBET6_IgG_1/mapped/WY01_HAP1_ChIP-seq_dBET6_IgG_1.trimmed.bowtie2.filtered.bam,/scratch/lab_bock/shared/projects/mthfd1/results/chipseq_peaks/HAP1_BRD4_dBET6_IgG-background/HAP1_BRD4_dBET6_IgG-background_homer_peaks.factor.filtered.bed,/scratch/lab_bock/shared/projects/mthfd1/results/chipseq_peaks/HAP1_H3K27ac_WT_IgG-background/HAP1_H3K27ac_WT_IgG-background_homer_peaks.histone.filtered.bed,bed
WY02_HAP1_ChIP-seq_dBET6_BRD4_first-ab_2,BRD4,dBET,2,/scratch/lab_bock/shared/projects/mthfd1/data/WY02_HAP1_ChIP-seq_dBET6_BRD4_first-ab_2/mapped/WY02_HAP1_ChIP-seq_dBET6_BRD4_first-ab_2.trimmed.bowtie2.filtered.bam,WY02_HAP1_ChIP-seq_dBET6_IgG_2,/scratch/lab_bock/shared/projects/mthfd1/data/WY02_HAP1_ChIP-seq_dBET6_IgG_2/mapped/WY02_HAP1_ChIP-seq_dBET6_IgG_2.trimmed.bowtie2.filtered.bam,/scratch/lab_bock/shared/projects/mthfd1/results/chipseq_peaks/HAP1_BRD4_dBET6_IgG-background/HAP1_BRD4_dBET6_IgG-background_homer_peaks.factor.filtered.bed,/scratch/lab_bock/shared/projects/mthfd1/results/chipseq_peaks/HAP1_H3K27ac_WT_IgG-background/HAP1_H3K27ac_WT_IgG-background_homer_peaks.histone.filtered.bed,bed
WY01_HAP1_ChIP-seq_dBET6_MTHFD1_1,MTHFD1,dBET,1,/scratch/lab_bock/shared/projects/mthfd1/data/WY01_HAP1_ChIP-seq_dBET6_MTHFD1_1/mapped/WY01_HAP1_ChIP-seq_dBET6_MTHFD1_1.trimmed.bowtie2.filtered.bam,WY01_HAP1_ChIP-seq_dBET6_IgG_1,/scratch/lab_bock/shared/projects/mthfd1/data/WY01_HAP1_ChIP-seq_dBET6_IgG_1/mapped/WY01_HAP1_ChIP-seq_dBET6_IgG_1.trimmed.bowtie2.filtered.bam,/scratch/lab_bock/shared/projects/mthfd1/results/chipseq_peaks/HAP1_MTHFD1_dBET6_IgG-background/HAP1_MTHFD1_dBET6_IgG-background_homer_peaks.histone.filtered.bed,/scratch/lab_bock/shared/projects/mthfd1/results/chipseq_peaks/HAP1_H3K27ac_WT_IgG-background/HAP1_H3K27ac_WT_IgG-background_homer_peaks.histone.filtered.bed,bed
WY02_HAP1_ChIP-seq_dBET6_MTHFD1_2,MTHFD1,dBET,2,/scratch/lab_bock/shared/projects/mthfd1/data/WY02_HAP1_ChIP-seq_dBET6_MTHFD1_2/mapped/WY02_HAP1_ChIP-seq_dBET6_MTHFD1_2.trimmed.bowtie2.filtered.bam,WY02_HAP1_ChIP-seq_dBET6_IgG_2,/scratch/lab_bock/shared/projects/mthfd1/data/WY02_HAP1_ChIP-seq_dBET6_IgG_2/mapped/WY02_HAP1_ChIP-seq_dBET6_IgG_2.trimmed.bowtie2.filtered.bam,/scratch/lab_bock/shared/projects/mthfd1/results/chipseq_peaks/HAP1_MTHFD1_dBET6_IgG-background/HAP1_MTHFD1_dBET6_IgG-background_homer_peaks.histone.filtered.bed,/scratch/lab_bock/shared/projects/mthfd1/results/chipseq_peaks/HAP1_H3K27ac_WT_IgG-background/HAP1_H3K27ac_WT_IgG-background_homer_peaks.histone.filtered.bed,bed
WY01_HAP1_ChIP-seq_DMSO_BRD4_first-ab_1,BRD4,DMSO,1,/scratch/lab_bock/shared/projects/mthfd1/data/WY01_HAP1_ChIP-seq_DMSO_BRD4_first-ab_1/mapped/WY01_HAP1_ChIP-seq_DMSO_BRD4_first-ab_1.trimmed.bowtie2.filtered.bam,WY01_HAP1_ChIP-seq_DMSO_IgG_1,/scratch/lab_bock/shared/projects/mthfd1/data/WY01_HAP1_ChIP-seq_DMSO_IgG_1/mapped/WY01_HAP1_ChIP-seq_DMSO_IgG_1.trimmed.bowtie2.filtered.bam,/scratch/lab_bock/shared/projects/mthfd1/results/chipseq_peaks/HAP1_BRD4_DMSO_IgG-background/HAP1_BRD4_DMSO_IgG-background_homer_peaks.factor.filtered.bed,/scratch/lab_bock/shared/projects/mthfd1/results/chipseq_peaks/HAP1_H3K27ac_WT_IgG-background/HAP1_H3K27ac_WT_IgG-background_homer_peaks.histone.filtered.bed,bed
WY02_HAP1_ChIP-seq_DMSO_BRD4_first-ab_2,BRD4,DMSO,2,/scratch/lab_bock/shared/projects/mthfd1/data/WY02_HAP1_ChIP-seq_DMSO_BRD4_first-ab_2/mapped/WY02_HAP1_ChIP-seq_DMSO_BRD4_first-ab_2.trimmed.bowtie2.filtered.bam,WY02_HAP1_ChIP-seq_DMSO_IgG_2,/scratch/lab_bock/shared/projects/mthfd1/data/WY02_HAP1_ChIP-seq_DMSO_IgG_2/mapped/WY02_HAP1_ChIP-seq_DMSO_IgG_2.trimmed.bowtie2.filtered.bam,/scratch/lab_bock/shared/projects/mthfd1/results/chipseq_peaks/HAP1_BRD4_DMSO_IgG-background/HAP1_BRD4_DMSO_IgG-background_homer_peaks.factor.filtered.bed,/scratch/lab_bock/shared/projects/mthfd1/results/chipseq_peaks/HAP1_H3K27ac_WT_IgG-background/HAP1_H3K27ac_WT_IgG-background_homer_peaks.histone.filtered.bed,bed
WY01_HAP1_ChIP-seq_DMSO_MTHFD1_1,MTHFD1,DMSO,1,/scratch/lab_bock/shared/projects/mthfd1/data/WY01_HAP1_ChIP-seq_DMSO_MTHFD1_1/mapped/WY01_HAP1_ChIP-seq_DMSO_MTHFD1_1.trimmed.bowtie2.filtered.bam,WY01_HAP1_ChIP-seq_DMSO_IgG_1,/scratch/lab_bock/shared/projects/mthfd1/data/WY01_HAP1_ChIP-seq_DMSO_IgG_1/mapped/WY01_HAP1_ChIP-seq_DMSO_IgG_1.trimmed.bowtie2.filtered.bam,/scratch/lab_bock/shared/projects/mthfd1/results/chipseq_peaks/HAP1_MTHFD1_DMSO_IgG-background/HAP1_MTHFD1_DMSO_IgG-background_homer_peaks.histone.filtered.bed,/scratch/lab_bock/shared/projects/mthfd1/results/chipseq_peaks/HAP1_H3K27ac_WT_IgG-background/HAP1_H3K27ac_WT_IgG-background_homer_peaks.histone.filtered.bed,bed
WY02_HAP1_ChIP-seq_DMSO_MTHFD1_2,MTHFD1,DMSO,2,/scratch/lab_bock/shared/projects/mthfd1/data/WY02_HAP1_ChIP-seq_DMSO_MTHFD1_2/mapped/WY02_HAP1_ChIP-seq_DMSO_MTHFD1_2.trimmed.bowtie2.filtered.bam,WY02_HAP1_ChIP-seq_DMSO_IgG_2,/scratch/lab_bock/shared/projects/mthfd1/data/WY02_HAP1_ChIP-seq_DMSO_IgG_2/mapped/WY02_HAP1_ChIP-seq_DMSO_IgG_2.trimmed.bowtie2.filtered.bam,/scratch/lab_bock/shared/projects/mthfd1/results/chipseq_peaks/HAP1_MTHFD1_DMSO_IgG-background/HAP1_MTHFD1_DMSO_IgG-background_homer_peaks.histone.filtered.bed,/scratch/lab_bock/shared/projects/mthfd1/results/chipseq_peaks/HAP1_H3K27ac_WT_IgG-background/HAP1_H3K27ac_WT_IgG-background_homer_peaks.histone.filtered.bed,bed
WY10_HAP1_ChIP-seq_MTHFD1KO_C8_BRD4_new-ab_1,BRD4,MTHFD1KO,1,/scratch/lab_bock/shared/projects/mthfd1/data/WY10_HAP1_ChIP-seq_MTHFD1KO_C8_BRD4_new-ab_1/mapped/WY10_HAP1_ChIP-seq_MTHFD1KO_C8_BRD4_new-ab_1.trimmed.bowtie2.filtered.bam,WY10_HAP1_ChIP-seq_MTHFD1KO_C8_IgG_1,/scratch/lab_bock/shared/projects/mthfd1/data/WY10_HAP1_ChIP-seq_MTHFD1KO_C8_IgG_1/mapped/WY10_HAP1_ChIP-seq_MTHFD1KO_C8_IgG_1.trimmed.bowtie2.filtered.bam,/scratch/lab_bock/shared/projects/mthfd1/results/chipseq_peaks/HAP1_BRD4_MTHFD1KO_IgG-background/HAP1_BRD4_MTHFD1KO_IgG-background_homer_peaks.factor.filtered.bed,/scratch/lab_bock/shared/projects/mthfd1/results/chipseq_peaks/HAP1_H3K27ac_WT_IgG-background/HAP1_H3K27ac_WT_IgG-background_homer_peaks.histone.filtered.bed,bed
WY10_HAP1_ChIP-seq_MTHFD1KO_F5_BRD4_new-ab_1,BRD4,MTHFD1KO,2,/scratch/lab_bock/shared/projects/mthfd1/data/WY10_HAP1_ChIP-seq_MTHFD1KO_F5_BRD4_new-ab_1/mapped/WY10_HAP1_ChIP-seq_MTHFD1KO_F5_BRD4_new-ab_1.trimmed.bowtie2.filtered.bam,WY10_HAP1_ChIP-seq_MTHFD1KO_F5_IgG_1,/scratch/lab_bock/shared/projects/mthfd1/data/WY10_HAP1_ChIP-seq_MTHFD1KO_F5_IgG_1/mapped/WY10_HAP1_ChIP-seq_MTHFD1KO_F5_IgG_1.trimmed.bowtie2.filtered.bam,/scratch/lab_bock/shared/projects/mthfd1/results/chipseq_peaks/HAP1_BRD4_MTHFD1KO_IgG-background/HAP1_BRD4_MTHFD1KO_IgG-background_homer_peaks.factor.filtered.bed,/scratch/lab_bock/shared/projects/mthfd1/results/chipseq_peaks/HAP1_H3K27ac_WT_IgG-background/HAP1_H3K27ac_WT_IgG-background_homer_peaks.histone.filtered.bed,bed
WY10_HAP1_ChIP-seq_MTHFD1KO_C8_MTHFD1_1,MTHFD1,MTHFD1KO,1,/scratch/lab_bock/shared/projects/mthfd1/data/WY10_HAP1_ChIP-seq_MTHFD1KO_C8_MTHFD1_1/mapped/WY10_HAP1_ChIP-seq_MTHFD1KO_C8_MTHFD1_1.trimmed.bowtie2.filtered.bam,WY10_HAP1_ChIP-seq_MTHFD1KO_C8_IgG_1,/scratch/lab_bock/shared/projects/mthfd1/data/WY10_HAP1_ChIP-seq_MTHFD1KO_C8_IgG_1/mapped/WY10_HAP1_ChIP-seq_MTHFD1KO_C8_IgG_1.trimmed.bowtie2.filtered.bam,/scratch/lab_bock/shared/projects/mthfd1/results/chipseq_peaks/HAP1_MTHFD1_MTHFD1KO_IgG-background/HAP1_MTHFD1_MTHFD1KO_IgG-background_homer_peaks.histone.filtered.bed,/scratch/lab_bock/shared/projects/mthfd1/results/chipseq_peaks/HAP1_H3K27ac_WT_IgG-background/HAP1_H3K27ac_WT_IgG-background_homer_peaks.histone.filtered.bed,bed
WY10_HAP1_ChIP-seq_MTHFD1KO_F5_MTHFD1_1,MTHFD1,MTHFD1KO,2,/scratch/lab_bock/shared/projects/mthfd1/data/WY10_HAP1_ChIP-seq_MTHFD1KO_F5_MTHFD1_1/mapped/WY10_HAP1_ChIP-seq_MTHFD1KO_F5_MTHFD1_1.trimmed.bowtie2.filtered.bam,WY10_HAP1_ChIP-seq_MTHFD1KO_F5_IgG_1,/scratch/lab_bock/shared/projects/mthfd1/data/WY10_HAP1_ChIP-seq_MTHFD1KO_F5_IgG_1/mapped/WY10_HAP1_ChIP-seq_MTHFD1KO_F5_IgG_1.trimmed.bowtie2.filtered.bam,/scratch/lab_bock/shared/projects/mthfd1/results/chipseq_peaks/HAP1_MTHFD1_MTHFD1KO_IgG-background/HAP1_MTHFD1_MTHFD1KO_IgG-background_homer_peaks.histone.filtered.bed,/scratch/lab_bock/shared/projects/mthfd1/results/chipseq_peaks/HAP1_H3K27ac_WT_IgG-background/HAP1_H3K27ac_WT_IgG-background_homer_peaks.histone.filtered.bed,bed
WY10_HAP1_ChIP-seq_WT_BRD4_new-ab_1,BRD4,WT,1,/scratch/lab_bock/shared/projects/mthfd1/data/WY10_HAP1_ChIP-seq_WT_BRD4_new-ab_1/mapped/WY10_HAP1_ChIP-seq_WT_BRD4_new-ab_1.trimmed.bowtie2.filtered.bam,WY10_HAP1_ChIP-seq_WT_IgG_1,/scratch/lab_bock/shared/projects/mthfd1/data/WY10_HAP1_ChIP-seq_WT_IgG_1/mapped/WY10_HAP1_ChIP-seq_WT_IgG_1.trimmed.bowtie2.filtered.bam,/scratch/lab_bock/shared/projects/mthfd1/results/chipseq_peaks/HAP1_BRD4_WT_IgG-background/HAP1_BRD4_WT_IgG-background_homer_peaks.factor.filtered.bed,/scratch/lab_bock/shared/projects/mthfd1/results/chipseq_peaks/HAP1_H3K27ac_WT_IgG-background/HAP1_H3K27ac_WT_IgG-background_homer_peaks.histone.filtered.bed,bed
WY10_HAP1_ChIP-seq_WT_BRD4_new-ab_2,BRD4,WT,2,/scratch/lab_bock/shared/projects/mthfd1/data/WY10_HAP1_ChIP-seq_WT_BRD4_new-ab_2/mapped/WY10_HAP1_ChIP-seq_WT_BRD4_new-ab_2.trimmed.bowtie2.filtered.bam,WY10_HAP1_ChIP-seq_WT_IgG_2,/scratch/lab_bock/shared/projects/mthfd1/data/WY10_HAP1_ChIP-seq_WT_IgG_2/mapped/WY10_HAP1_ChIP-seq_WT_IgG_2.trimmed.bowtie2.filtered.bam,/scratch/lab_bock/shared/projects/mthfd1/results/chipseq_peaks/HAP1_BRD4_WT_IgG-background/HAP1_BRD4_WT_IgG-background_homer_peaks.factor.filtered.bed,/scratch/lab_bock/shared/projects/mthfd1/results/chipseq_peaks/HAP1_H3K27ac_WT_IgG-background/HAP1_H3K27ac_WT_IgG-background_homer_peaks.histone.filtered.bed,bed
WY10_HAP1_ChIP-seq_WT_MTHFD1_1,MTHFD1,WT,1,/scratch/lab_bock/shared/projects/mthfd1/data/WY10_HAP1_ChIP-seq_WT_MTHFD1_1/mapped/WY10_HAP1_ChIP-seq_WT_MTHFD1_1.trimmed.bowtie2.filtered.bam,WY10_HAP1_ChIP-seq_WT_IgG_1,/scratch/lab_bock/shared/projects/mthfd1/data/WY10_HAP1_ChIP-seq_WT_IgG_1/mapped/WY10_HAP1_ChIP-seq_WT_IgG_1.trimmed.bowtie2.filtered.bam,/scratch/lab_bock/shared/projects/mthfd1/results/chipseq_peaks/HAP1_MTHFD1_WT_IgG-background/HAP1_MTHFD1_WT_IgG-background_homer_peaks.histone.filtered.bed,/scratch/lab_bock/shared/projects/mthfd1/results/chipseq_peaks/HAP1_H3K27ac_WT_IgG-background/HAP1_H3K27ac_WT_IgG-background_homer_peaks.histone.filtered.bed,bed
WY10_HAP1_ChIP-seq_WT_MTHFD1_2,MTHFD1,WT,2,/scratch/lab_bock/shared/projects/mthfd1/data/WY10_HAP1_ChIP-seq_WT_MTHFD1_2/mapped/WY10_HAP1_ChIP-seq_WT_MTHFD1_2.trimmed.bowtie2.filtered.bam,WY10_HAP1_ChIP-seq_WT_IgG_2,/scratch/lab_bock/shared/projects/mthfd1/data/WY10_HAP1_ChIP-seq_WT_IgG_2/mapped/WY10_HAP1_ChIP-seq_WT_IgG_2.trimmed.bowtie2.filtered.bam,/scratch/lab_bock/shared/projects/mthfd1/results/chipseq_peaks/HAP1_MTHFD1_WT_IgG-background/HAP1_MTHFD1_WT_IgG-background_homer_peaks.histone.filtered.bed,/scratch/lab_bock/shared/projects/mthfd1/results/chipseq_peaks/HAP1_H3K27ac_WT_IgG-background/HAP1_H3K27ac_WT_IgG-background_homer_peaks.histone.filtered.bed,bed
